timestamp,cmd_v,cmd_w
1741199331079989715,0.5,0.0
1741199331435821784,0.5,0.0
1741199331435911472,0.5,0.0
1741199331436195334,0.5,0.0
1741199331436223806,0.5,0.0
1741199331436268306,0.5,0.0
1741199331436295692,0.5,0.0
1741199331436310429,0.5,0.0
1741199331489302720,0.5,0.0
1741199331504354035,0.5,0.0
1741199331538588786,0.5,0.0
1741199331904119790,0.5,0.0
1741199331907302231,0.5,0.0
1741199331907330680,0.5,0.0
1741199331907348367,0.5,0.0
1741199331907374723,0.5,0.0
1741199331907387573,0.5,0.0
1741199331907399637,0.5,0.0
1741199331965466631,0.5,0.0
1741199331980686004,0.5,0.0
1741199332026871229,0.5,0.0
1741199332074514457,0.5,0.0
1741199332116168119,0.5,0.0
1741199332168915972,0.5,0.0
1741199332211721167,0.5,0.0
1741199332252625002,0.5,0.0
1741199332297094884,0.5,0.0
1741199332335874498,0.5,0.0
1741199332374989588,0.5,0.0
1741199332416944740,0.5,0.0
1741199332453181091,0.5,0.0
1741199332487676044,0.5,0.0
1741199332538244224,0.5,0.0
1741199332631186797,0.5,0.0
1741199332651918986,0.5,0.0
1741199332726410288,0.5,0.0
1741199332741510291,0.5,0.0
1741199332816035772,0.5,0.0
1741199332831977747,0.5,0.0
1741199332906305195,0.5,0.0
1741199332924691815,0.5,0.0
1741199333002622545,0.5,0.0
1741199333020988001,0.5,0.0
1741199333064378207,0.5,0.0
1741199333130903678,0.5,0.0
1741199333219946293,0.5,0.0
1741199333236056781,0.5,0.0
1741199333301720222,0.5,0.0
1741199333319497968,0.5,0.0
1741199333381991135,0.5,0.0
1741199333399647450,0.5,0.0
1741199333463991947,0.5,0.0
1741199333481326006,0.5,0.0
1741199333558516839,0.5,0.0
1741199333572968891,0.5,0.0
1741199333643052448,0.5,0.0
1741199333680916603,0.5,0.0
1741199333723946527,0.5,0.0
1741199333767347460,0.5,0.0
1741199333810408408,0.5,0.0
1741199333847721219,0.5,0.0
1741199333889414294,0.5,0.0
1741199333933275772,0.5,0.0
1741199333948381805,0.5,0.0
1741199334018585586,0.5,0.0
1741199334036046468,0.5,0.0
1741199334100272222,0.5,0.0
1741199334116215182,0.5,0.0
1741199334187874076,0.5,0.0
1741199334205877815,0.5,0.0
1741199334275843507,0.5,0.0
1741199334291140311,0.5,0.0
1741199334358170196,0.5,0.0
1741199334373515551,0.5,0.0
1741199334406561958,0.5,0.0
1741199334457047439,0.5,0.0
1741199334492664435,0.5,0.0
1741199334543025269,0.5,0.0
1741199334618015765,0.5,0.0
1741199334632828495,0.5,0.0
1741199334698507541,0.5,0.0
1741199334713656630,0.5,0.0
1741199334780739568,0.5,0.0
1741199334825816649,0.5,0.0
1741199334878756509,0.5,0.0
1741199334917051716,0.5,0.0
1741199334967431564,0.5,0.0
1741199335007071453,0.5,0.0
1741199335050545323,0.5,0.0
1741199335092232097,0.5,0.0
1741199335136227699,0.5,0.0
1741199335181832726,0.5,0.0
1741199335215273586,0.5,0.0
1741199335258324936,0.5,0.0
1741199335295598617,0.5,0.0
1741199335337781761,0.5,0.0
1741199335379464079,0.5,0.0
1741199335423310187,0.5,0.0
1741199335461007628,0.5,0.0
1741199335504955865,0.5,0.0
1741199335537390425,0.5,0.0
1741199335594229103,0.5,0.0
1741199335626614473,0.5,0.0
1741199335674206720,0.5,0.0
1741199335707960001,0.5,0.0
1741199335759683272,0.5,0.0
1741199335796596356,0.5,0.0
1741199335811589882,0.5,0.0
1741199335871043889,0.5,0.0
1741199335923316486,0.5,0.0
1741199335956312741,0.5,0.0
1741199336007451787,0.5,0.0
1741199336048795212,0.5,0.0
1741199336094721095,0.5,0.0
1741199336136292547,0.5,0.0
1741199336186453636,0.5,0.0
1741199336226719371,0.5,0.0
