timestamp,cmd_v,cmd_w
1741199346915849652,0.5,0.0
1741199347015643871,0.5,0.0
1741199347115582202,0.5,0.0
1741199347215604510,0.5,0.0
1741199347315586002,0.5,0.0
1741199347415502684,0.5,0.0
1741199347515649811,0.5,0.0
1741199347615541956,0.5,0.0
1741199347715623427,0.5,0.0
1741199347815623174,0.5,0.0
1741199347915671956,0.5,0.0
1741199348016628636,0.5,0.0
1741199348115510768,0.5,0.0
1741199348215530003,0.5,0.0
1741199348315578412,0.5,0.0
1741199348415704662,0.5,0.0
1741199348515672438,0.5,0.0
1741199348615590001,0.5,0.0
1741199348715598736,0.5,0.0
1741199348815581345,0.5,0.0
1741199348915622696,0.5,0.0
1741199349015587104,0.5,0.0
1741199349115621106,0.5,0.0
1741199349215668535,0.5,0.0
1741199349315955866,0.5,0.0
1741199349415574101,0.5,0.0
1741199349515804767,0.5,0.0
1741199349615618037,0.5,0.0
1741199349715604663,0.5,0.0
1741199349815537310,0.5,0.0
1741199349915580308,0.5,0.0
1741199350015520953,0.5,0.0
1741199350115549165,0.5,0.0
1741199350215583635,0.5,0.0
1741199350315592857,0.5,0.0
1741199350415570092,0.5,0.0
1741199350515625823,0.5,0.0
1741199350615595615,0.5,0.0
1741199350715583597,0.5,0.0
1741199350815606713,0.5,0.0
1741199350915680265,0.5,0.0
1741199351015652771,0.5,0.0
1741199351115595943,0.5,0.0
1741199351215922048,0.5,0.0
1741199351315775541,0.5,0.0
1741199351415606143,0.5,0.0
1741199351515593766,0.5,0.0
1741199351615726685,0.5,0.0
1741199351715529589,0.5,0.0
1741199351815787843,0.5,0.0
1741199351915539673,0.5,0.0
1741199352015877281,0.5,0.0
1741199352115604421,0.5,0.0
1741199352215498405,0.5,0.0
1741199352315594557,0.5,0.0
1741199352415913118,0.5,0.0
1741199352515508785,0.5,0.0
1741199352615868580,0.5,0.0
1741199352715602318,0.5,0.0
1741199352815919207,0.5,0.0
1741199352915582254,0.5,0.0
1741199353015533178,0.5,0.0
1741199353115623460,0.5,0.0
1741199353215588634,0.5,0.0
1741199353315592570,0.5,0.0
1741199353415682854,0.5,0.0
1741199353515964828,0.5,0.0
1741199353615757323,0.5,0.0
1741199353715593868,0.5,0.0
1741199353815604501,0.5,0.0
1741199353915609497,0.5,0.0
1741199354015656207,0.5,0.0
1741199354115536587,0.5,0.0
1741199354215671173,0.5,0.0
1741199354315744786,0.5,0.0
1741199354415571516,0.5,0.0
1741199354515697548,0.5,0.0
1741199354615538269,0.5,0.0
1741199354715584418,0.5,0.0
1741199354815601926,0.5,0.0
1741199354915606947,0.5,0.0
1741199355015577779,0.5,0.0
1741199355115877794,0.5,0.0
1741199355215706588,0.5,0.0
1741199355315531714,0.5,0.0
1741199355415579982,0.5,0.0
1741199355516087341,0.5,0.0
1741199355615658307,0.5,0.0
1741199355715570101,0.5,0.0
1741199355815589015,0.5,0.0
1741199355915583105,0.5,0.0
1741199356015688272,0.5,0.0
1741199356115567505,0.5,0.0
1741199356216241279,0.5,0.0
1741199356315620631,0.5,0.0
1741199356415827497,0.5,0.0
1741199356515584121,0.5,0.0
1741199356615564632,0.5,0.0
1741199356715775641,0.5,0.0
1741199356815597365,0.5,0.0
1741199356915747341,0.5,0.0
1741199357015624848,0.5,0.0
1741199357115583499,0.5,0.0
1741199357215587330,0.5,0.0
1741199357315566292,0.5,0.0
1741199357415621029,0.5,0.0
1741199357515552130,0.5,0.0
1741199357615591754,0.5,0.0
1741199357715712362,0.5,0.0
1741199357815608986,0.5,0.0
1741199357915603864,0.5,0.0
1741199358015647300,0.5,0.0
1741199358115487755,0.5,0.0
1741199358215621149,0.5,0.0
1741199358315596436,0.5,0.0
1741199358415625552,0.5,0.0
1741199358515562937,0.5,0.0
1741199358615536728,0.5,0.0
1741199358715791344,0.5,0.0
1741199358815669243,0.5,0.0
1741199358915648069,0.5,0.0
1741199359015634641,0.5,0.0
1741199359115650044,0.5,0.0
1741199359215544905,0.5,0.0
1741199359315591625,0.5,0.0
1741199359415583411,0.5,0.0
1741199359515593080,0.5,0.0
1741199359615623653,0.5,0.0
